nome,telefone,data_nascimento,estado,salario,quantidade_vendida,data_venda,email,cpf_camuflado
João Silva,(11) 91234-5678,16/11/1980,ES,1767.57,10,28/11/2026,cliente696@email.com,xxx.xxx.xxx-26
Ana Paula,(11) 91234-5678,28/12/1980,MG,2858.24,6,30/10/2026,cliente667@email.com,xxx.xxx.xxx-30
Fernanda Lima,(11) 91234-5678,Data Errada,SP,3928.25,6,05/03/2025,cliente63@email.com,xxx.xxx.xxx-55
Carlos José,(11) 91234-5678,08/04/1980,SP,3739.68,1000,18/06/2026,cliente533@email.com,xxx.xxx.xxx-86
Maria Souza,(11) 91234-5678,30/05/1980,SP,3267.84,8,08/03/2025,cliente66@email.com,xxx.xxx.xxx-38
Ana Paula,(11) 11912345678,17/10/1980,SP,2251.9,3,14/09/2026,cliente621@email.com,xxx.xxx.xxx-22
Pedro  Santos,(27) 91234-5678,03/07/1980,ES,2082.02,7,13/12/2025,cliente346@email.com,xxx.xxx.xxx-50
Fernanda Lima,(27) 11912345678,10/01/1980,ES,3256.17,3,06/05/2026,cliente490@email.com,xxx.xxx.xxx-94
Fernanda Lima,,05/07/1980,ES,2786.12,9,31/01/2027,cliente760@email.com,xxx.xxx.xxx-43
Carlos José,,30/03/1980,RJ,3696.32,6,02/04/2026,cliente456@email.com,xxx.xxx.xxx-31
Ana Paula,(11) 91234-5678,16/03/1980,ES,1846.51,7,07/03/2025,cliente65@email.com,xxx.xxx.xxx-48
Pedro  Santos,(11) 91234-5678,04/01/1980,SP,3149.6,6,14/10/2025,cliente286@email.com,xxx.xxx.xxx-48
Maria Souza,(11) 91234-5678,15/11/1980,SP,2980.21,7,28/09/2026,cliente635@email.com,xxx.xxx.xxx-68
Ana Paula,(21) 11912345678,11/03/1980,RJ,2176.47,6,09/03/2025,cliente67@email.com,xxx.xxx.xxx-11
Fernanda Lima,(11) 91234-5678,27/11/1980,SP,1871.94,4,24/11/2025,cliente327@email.com,xxx.xxx.xxx-56
Maria Souza,(11) 91234-5678,16/05/1980,MG,4202.58,5,31/01/2026,cliente395@email.com,xxx.xxx.xxx-66
