nome,cpf,telefone,data_nascimento,estado,salario,quantidade_vendida,data_venda,email
  joão silva  ,639.377.332-26,11 91234-5678,16-11-1980,ES,"R$ 1.767,57",10,2026-11-28,cliente696@email.com
ANA paula  ,537.164.455-30,(11) 91234-5678,28/12/1980,MG,"R$ 2.858,24",6,2026-10-30,cliente667@email.com
   fernanda lima,558.669.637-55,(11) 91234-5678,31/02/2000,SP,"R$ 3.928,25",6,2025-03-05,cliente63@email.com
Carlos José,549.918.942-86,91234-5678,1980-04-08,S.Paulo,"R$ 3.739,68",1000,2026-06-18,cliente533@email.com
MARIA SOUZA  ,370.986.896-38,(11) 91234-5678,1980-05-30,SP,"R$ 3.267,84",8,2025-03-08,cliente66@email.com
ANA paula ,421.549.573-22,11912345678,17/10/1980,sp,"R$ 2.251,90",3,2026-09-14,cliente621@email.com
Pedro  Santos  ,330.830.165-50,91234-5678,03/07/1980,Espírito Santo,"R$ 2.082,02",7,2025-12-13,cliente346@email.com
   fernanda lima  ,675.593.661-94,11912345678,1980-01-10,Espírito Santo,"R$ 3.256,17",3,2026-05-06,cliente490@email.com
   fernanda lima ,635.103.934-43,nan,1980-07-05,Espírito Santo,"R$ 2.786,12",9,2027-01-31,cliente760@email.com
Carlos José  ,174.378.275-31,nan,30/03/1980,RJ,"R$ 3.696,32",6,2026-04-02,cliente456@email.com
ANA paula ,198.496.588-48,11 91234-5678,16/03/1980,Espírito Santo,"R$ 1.846,51",7,2025-03-07,cliente65@email.com
Pedro  Santos ,749.570.925-48,11 91234-5678,04/01/1980,sp,"R$ 3.149,60",6,2025-10-14,cliente286@email.com
MARIA SOUZA,802.359.304-68,(11) 91234-5678,1980-11-15,S.Paulo,"R$ 2.980,21",7,2026-09-28,cliente635@email.com
ANA paula ,174.983.899-11,11912345678,11/03/1980,RJ,"R$ 2.176,47",6,2025-03-09,cliente67@email.com
   fernanda lima  ,596.879.332-56,(11) 91234-5678,27-11-1980,sp,"R$ 1.871,94",4,2025-11-24,cliente327@email.com
MARIA SOUZA ,949.349.974-66,(11) 91234-5678,16/05/1980,Minas Gerais,"R$ 4.202,58",5,2026-01-31,cliente395@email.com
ANA paula  ,599.837.608-23,11912345678,1981-01-30,Espírito Santo,"R$ 2.982,99",2,2025-09-02,cliente244@email.com
   fernanda lima,237.149.870-86,11912345678,13/08/1980,S.Paulo,"R$ 1.801,05",6,2026-01-13,cliente377@email.com
ANA paula,391.124.648-10,11912345678,1980-03-19,S.Paulo,"R$ 4.704,59",5,2026-09-03,cliente610@email.com
Pedro  Santos  ,442.769.530-96,(11) 91234-5678,02-10-1980,S.Paulo,"R$ 2.511,11",8,2026-06-11,cliente526@email.com
  joão silva ,326.335.972-80,11912345678,30-06-1980,São Paulo,"R$ 3.703,14",3,2026-10-21,cliente658@email.com
  joão silva ,693.584.758-37,11912345678,1980-01-13,MG,"R$ 1.874,41",3,2026-06-14,cliente529@email.com
Carlos José,283.210.607-43,(11) 91234-5678,1980-09-28,São Paulo,"R$ 1.032,67",5,2026-09-15,cliente622@email.com
